"id","nama","jenis_kelamin","kelas","pernyataan_satu","pernyataan_dua","pernyataan_tiga","pernyataan_empat","pernyataan_lima","pernyataan_enam","pernyataan_tujuh","pernyataan_delapan","pernyataan_sembilan","pernyataan_sepuluh","pernyataan_sebelas","pernyataan_duabelas","pernyataan_tigabelas","pernyataan_empatbelas","pernyataan_limabelas"
"216","Kristofer Hirthe","laki-laki","11","S","SS","TS","SS","S","STS","TS","STS","SS","SS","S","SS","SS","S","SS"
"217","Florencio Kling","perempuan","11","TS","TS","SS","S","S","STS","STS","TS","S","S","SS","STS","S","S","TS"
"218","Haskell Wunsch II","perempuan","11","TS","TS","SS","SS","TS","S","TS","STS","SS","SS","S","S","S","STS","TS"
"219","Mr. Juwan Steuber","laki-laki","10","SS","TS","S","SS","TS","TS","STS","STS","TS","STS","TS","STS","S","S","STS"
"220","Prof. Regan Cartwright DDS","laki-laki","12","SS","S","SS","SS","TS","SS","STS","STS","STS","SS","SS","TS","STS","S","SS"
"221","Prof. Felton Koss IV","laki-laki","12","STS","SS","STS","S","STS","TS","STS","TS","SS","SS","SS","SS","S","SS","TS"
"222","Rylan Sipes","laki-laki","11","SS","S","STS","STS","TS","S","STS","S","STS","SS","S","STS","S","TS","SS"
"223","Ms. Anjali Weimann","perempuan","11","S","STS","TS","S","SS","STS","STS","SS","STS","TS","S","STS","S","TS","SS"
"224","Gloria Schultz","laki-laki","11","TS","TS","SS","SS","SS","SS","SS","S","SS","SS","STS","SS","TS","STS","STS"
"225","Prof. Pablo Shields Sr.","perempuan","10","STS","S","STS","S","STS","STS","SS","SS","S","TS","TS","SS","SS","S","STS"
"226","Mr. Eleazar Fritsch II","laki-laki","11","S","TS","SS","SS","STS","TS","TS","S","STS","TS","STS","SS","TS","S","SS"
"227","Sallie Kling","laki-laki","12","S","SS","SS","SS","SS","SS","S","SS","SS","SS","TS","TS","SS","SS","SS"
"228","Declan Hilpert III","laki-laki","11","TS","STS","STS","S","STS","TS","SS","STS","S","SS","STS","TS","TS","S","STS"
"229","Frederik Thiel V","laki-laki","10","STS","STS","SS","STS","SS","TS","S","SS","S","S","TS","TS","TS","TS","TS"
"230","Elsie Fritsch","perempuan","11","STS","TS","TS","TS","TS","SS","SS","TS","TS","STS","SS","STS","SS","TS","TS"
"231","Nicholaus Wilkinson","perempuan","10","STS","STS","SS","STS","SS","SS","SS","STS","S","TS","SS","STS","STS","TS","TS"
"232","Clyde Dooley","laki-laki","11","SS","SS","STS","SS","TS","STS","SS","STS","S","SS","SS","S","SS","TS","SS"
"233","Imani Turner","perempuan","12","SS","SS","TS","S","S","STS","SS","SS","S","TS","TS","SS","STS","SS","SS"
"234","Prof. Jalyn Schaden MD","perempuan","11","SS","S","TS","STS","TS","TS","SS","SS","TS","S","SS","STS","STS","SS","TS"
"235","Neoma Brakus DDS","laki-laki","11","TS","S","S","STS","TS","TS","SS","STS","S","TS","STS","S","SS","SS","SS"
"236","Emilie Emard","perempuan","10","SS","STS","S","SS","STS","SS","SS","SS","TS","SS","TS","TS","STS","STS","STS"
"237","Prof. Jaydon Cole","laki-laki","10","SS","S","S","S","S","SS","S","STS","S","STS","TS","TS","TS","STS","S"
"238","Miss Ericka Rogahn","perempuan","12","STS","S","TS","SS","TS","S","SS","TS","STS","STS","STS","TS","STS","SS","STS"
"239","Ms. Talia Zieme I","laki-laki","12","STS","S","TS","TS","SS","STS","S","S","S","SS","TS","SS","S","STS","TS"
"240","Mrs. Adrienne Kris","laki-laki","10","S","S","SS","SS","TS","TS","STS","S","S","SS","STS","SS","SS","SS","STS"
"241","Dr. Alexander Dooley","perempuan","11","SS","TS","S","S","TS","SS","TS","STS","SS","SS","SS","TS","TS","TS","TS"
"242","Prof. Flossie Stracke MD","laki-laki","11","TS","TS","STS","TS","TS","SS","TS","STS","TS","TS","S","STS","SS","SS","SS"
"243","Elijah Davis","perempuan","12","TS","TS","S","SS","STS","SS","STS","TS","S","STS","SS","STS","STS","TS","SS"
"244","Orin Mante","perempuan","10","S","TS","SS","S","SS","S","STS","S","S","TS","S","STS","STS","TS","S"
"245","Berneice Metz","perempuan","11","TS","SS","SS","TS","S","STS","S","SS","SS","STS","STS","SS","S","STS","TS"
"246","Webster Crooks","perempuan","12","TS","TS","SS","TS","S","TS","S","STS","S","STS","TS","STS","TS","TS","SS"
"247","Michale Nicolas","perempuan","10","S","STS","SS","STS","STS","SS","SS","SS","TS","SS","SS","STS","S","SS","S"
"248","Carolyn Hettinger","laki-laki","10","STS","STS","SS","SS","TS","TS","S","STS","TS","TS","TS","STS","STS","STS","SS"
"249","Chadrick White","perempuan","12","S","SS","SS","STS","TS","S","TS","S","STS","TS","TS","STS","STS","SS","TS"
"250","Xander Kuvalis","perempuan","12","TS","SS","TS","S","S","STS","SS","S","STS","SS","SS","SS","S","TS","TS"
"251","Elisa Haley I","perempuan","12","S","TS","STS","S","SS","SS","SS","SS","TS","SS","S","STS","SS","SS","S"
"252","Mr. Roman Funk II","perempuan","12","SS","S","TS","TS","TS","S","TS","TS","STS","TS","STS","SS","SS","SS","S"
"253","Prof. Maymie Towne","laki-laki","10","S","SS","SS","SS","S","TS","TS","STS","S","TS","S","STS","STS","STS","TS"
"254","Ms. Deborah Senger","laki-laki","10","SS","STS","TS","STS","SS","TS","STS","S","SS","S","STS","SS","STS","TS","STS"
"255","Casimer Lesch","perempuan","12","TS","SS","TS","TS","S","TS","S","TS","TS","TS","S","S","TS","STS","S"
"256","Annabelle Fahey V","laki-laki","11","SS","STS","STS","S","SS","S","S","SS","TS","TS","SS","STS","TS","SS","STS"
"257","Crawford Wintheiser","laki-laki","10","SS","SS","TS","TS","SS","STS","S","STS","SS","TS","S","STS","TS","SS","TS"
"258","Deja Ziemann I","laki-laki","11","SS","SS","TS","SS","S","S","TS","STS","S","SS","SS","TS","S","TS","TS"
"259","Ms. Emmy Stark Sr.","perempuan","10","STS","SS","SS","STS","SS","S","STS","SS","TS","TS","TS","TS","S","S","SS"
"260","Mrs. Maybell Hartmann IV","laki-laki","12","S","TS","TS","S","STS","TS","STS","S","S","S","TS","S","SS","SS","S"
"261","Ali Bogisich","laki-laki","11","STS","S","TS","S","SS","STS","SS","S","S","S","S","TS","SS","S","STS"
"262","Mrs. Gretchen Harber V","perempuan","11","SS","STS","S","S","STS","SS","TS","TS","STS","TS","TS","S","TS","S","S"
"263","Jeramie Bogan","laki-laki","11","TS","SS","TS","STS","S","SS","TS","SS","SS","S","S","SS","S","TS","TS"
"264","Miss Wendy Rath MD","perempuan","10","S","STS","TS","S","TS","TS","STS","STS","TS","SS","TS","S","SS","TS","SS"
"265","Julien Howe","laki-laki","10","TS","STS","STS","SS","TS","TS","SS","S","STS","STS","S","STS","TS","S","TS"
"266","Jose Langworth DVM","laki-laki","10","S","S","STS","STS","S","S","SS","TS","STS","S","STS","SS","TS","SS","TS"
"267","Kory Terry","perempuan","10","SS","STS","TS","SS","S","STS","S","STS","TS","SS","TS","SS","TS","TS","S"
"268","Presley Wyman IV","perempuan","11","TS","S","STS","S","SS","STS","STS","STS","STS","S","STS","S","TS","TS","STS"
"269","Christopher Stanton","laki-laki","10","TS","STS","STS","S","S","SS","TS","SS","S","STS","S","SS","STS","S","STS"
"270","Dr. Akeem Batz Sr.","laki-laki","11","SS","STS","STS","TS","TS","SS","SS","SS","S","S","SS","SS","S","SS","STS"
"271","Darwin Hill Jr.","perempuan","11","SS","S","SS","TS","S","SS","S","S","S","TS","TS","SS","STS","S","SS"
"272","Kaia Hudson","laki-laki","10","SS","STS","SS","TS","STS","TS","S","STS","SS","STS","SS","SS","STS","SS","TS"
"273","Lacy Towne","laki-laki","12","TS","STS","TS","STS","STS","STS","S","S","TS","S","SS","SS","TS","STS","SS"
"274","Aniyah Baumbach","perempuan","12","TS","STS","S","S","TS","SS","S","S","SS","TS","S","S","TS","TS","S"
"275","Prof. Bernadette Reichert III","perempuan","11","STS","S","S","STS","TS","SS","SS","TS","STS","STS","S","S","STS","STS","SS"
"276","Rupert Brown","perempuan","10","S","TS","SS","S","TS","STS","SS","S","S","SS","TS","STS","S","S","TS"
"277","Lina Sipes","laki-laki","11","SS","SS","SS","STS","SS","TS","SS","STS","TS","SS","S","S","SS","TS","SS"
"278","Antonietta Walter","laki-laki","11","S","S","SS","S","STS","STS","SS","S","SS","STS","SS","SS","SS","TS","SS"
"279","Miss Kailyn Rath","perempuan","10","TS","SS","S","S","STS","TS","TS","STS","STS","TS","SS","STS","STS","S","SS"
"280","Merlin Kuvalis Jr.","laki-laki","11","TS","SS","S","TS","S","TS","SS","STS","SS","S","SS","SS","STS","S","S"
"281","Mariah Rath","laki-laki","11","S","STS","S","TS","SS","S","S","S","SS","STS","STS","S","STS","SS","SS"
"282","Dr. Ericka Feeney","laki-laki","11","SS","TS","STS","TS","SS","SS","TS","SS","TS","S","STS","STS","SS","SS","TS"
"283","Bryana Adams","perempuan","12","TS","S","SS","TS","S","STS","S","STS","SS","TS","SS","SS","STS","SS","S"
"284","Philip Hartmann","perempuan","12","S","TS","S","S","STS","STS","TS","STS","SS","SS","STS","STS","S","SS","SS"
"285","Zella Schumm","perempuan","10","TS","S","TS","STS","SS","STS","STS","TS","STS","SS","SS","SS","S","S","TS"
"286","Loma Schumm","laki-laki","10","STS","STS","STS","TS","TS","S","TS","S","S","S","S","SS","TS","SS","S"
"287","Ms. Brisa Ondricka V","perempuan","12","TS","STS","STS","SS","SS","TS","SS","SS","S","TS","SS","SS","S","SS","S"
"288","Albertha Barrows","laki-laki","12","SS","SS","STS","STS","TS","TS","S","STS","SS","S","SS","TS","SS","SS","S"
"289","Julien Torp","perempuan","10","STS","TS","S","TS","S","TS","STS","S","S","SS","S","S","TS","SS","STS"
"290","Woodrow Krajcik","laki-laki","11","S","SS","STS","SS","STS","TS","TS","SS","STS","TS","TS","STS","TS","STS","TS"
"291","Mr. Filiberto Prosacco","laki-laki","11","STS","SS","STS","SS","TS","TS","SS","TS","STS","TS","SS","S","STS","STS","TS"
"292","Pansy Bogisich","laki-laki","10","STS","STS","STS","SS","SS","TS","STS","S","STS","STS","STS","SS","SS","SS","S"
"293","Gilberto Lakin","perempuan","12","S","STS","TS","STS","S","STS","TS","STS","TS","STS","TS","TS","STS","TS","TS"
"294","Prof. Bernardo Gusikowski","laki-laki","10","S","TS","STS","S","TS","TS","S","S","S","STS","STS","STS","SS","TS","STS"
"295","Daniela Muller IV","laki-laki","12","S","S","TS","S","TS","S","S","S","S","STS","STS","S","S","TS","S"
"296","Mr. Easton Hagenes","laki-laki","10","TS","S","S","STS","S","S","S","SS","SS","STS","SS","SS","STS","S","STS"
"297","Lelah Thompson","perempuan","10","S","TS","SS","TS","S","TS","STS","TS","SS","STS","S","STS","S","STS","SS"
"298","Favian Schmeler","perempuan","10","STS","S","STS","SS","SS","S","S","SS","STS","S","STS","S","S","SS","STS"
"299","Ms. Verona Connelly","perempuan","11","S","SS","STS","SS","S","STS","TS","S","TS","SS","S","TS","S","STS","S"
"300","Melody Sawayn MD","perempuan","12","S","S","TS","S","TS","TS","S","TS","SS","S","S","S","SS","STS","S"
"301","Dr. Lorna Barton","laki-laki","10","S","STS","S","S","TS","STS","SS","S","S","STS","STS","TS","SS","SS","TS"
"302","Maurice Hauck","perempuan","10","STS","SS","S","S","TS","S","SS","STS","SS","STS","TS","STS","SS","STS","SS"
"303","Cleveland Quigley III","laki-laki","10","SS","TS","S","TS","TS","TS","S","TS","S","STS","STS","SS","S","TS","SS"
"304","Miss Rosa Breitenberg","laki-laki","12","SS","TS","SS","SS","S","S","SS","TS","S","S","SS","STS","SS","SS","STS"
"305","Dr. Van Ortiz I","laki-laki","10","S","SS","S","S","TS","SS","S","TS","S","SS","TS","STS","STS","S","TS"
"306","Mrs. Alvena Ryan","laki-laki","11","SS","TS","STS","S","SS","SS","SS","STS","TS","TS","STS","STS","STS","SS","TS"
"307","Wilmer Hartmann Sr.","perempuan","11","TS","SS","TS","TS","SS","STS","S","SS","SS","SS","STS","SS","STS","STS","STS"
"308","Justice Gibson IV","perempuan","10","SS","TS","S","TS","TS","STS","SS","S","SS","TS","SS","SS","TS","TS","TS"
"309","Tatyana Haag","laki-laki","11","TS","TS","SS","STS","SS","SS","S","STS","SS","STS","STS","STS","TS","S","S"
"310","Miss Sienna Torphy","laki-laki","10","TS","STS","S","S","STS","SS","S","STS","STS","STS","SS","TS","TS","S","S"
"311","Eloise Maggio V","laki-laki","11","S","STS","STS","STS","SS","STS","STS","STS","SS","STS","S","SS","TS","SS","SS"
"312","Wellington Stoltenberg","perempuan","10","S","STS","S","S","TS","SS","STS","S","S","TS","SS","TS","SS","SS","STS"
"313","Carey Grady","laki-laki","10","SS","TS","STS","SS","S","SS","STS","STS","STS","TS","S","STS","S","SS","TS"
"314","Joyce Paucek","laki-laki","11","SS","STS","SS","S","SS","STS","TS","TS","SS","TS","SS","TS","STS","S","S"
"315","Twila Mills","perempuan","11","TS","TS","STS","S","TS","S","S","S","TS","S","SS","SS","S","S","TS"
"316","Amaya Murray","perempuan","11","TS","S","SS","S","SS","STS","S","TS","TS","SS","S","SS","SS","S","TS"
"317","Lori Reilly","laki-laki","12","STS","S","SS","STS","STS","TS","S","S","STS","STS","TS","SS","SS","S","TS"
"318","Iva O'Keefe","laki-laki","11","TS","S","STS","S","STS","SS","S","S","STS","TS","S","TS","SS","STS","STS"
"319","Dr. Myah Hoeger","perempuan","11","TS","S","SS","S","STS","SS","TS","TS","STS","TS","SS","STS","S","SS","TS"
"320","Juana Weber","laki-laki","10","SS","SS","S","TS","SS","SS","SS","TS","TS","TS","TS","STS","S","SS","SS"
"321","Kevin Williamson","laki-laki","11","S","TS","S","S","STS","STS","SS","STS","SS","SS","STS","STS","SS","S","TS"
"322","Everett Farrell","perempuan","10","STS","STS","S","SS","STS","SS","STS","S","SS","TS","SS","TS","STS","TS","SS"
"323","Rhiannon Kirlin","perempuan","10","STS","S","STS","SS","STS","SS","TS","STS","TS","S","STS","SS","STS","TS","S"
"324","Prof. Jameson Jerde","perempuan","12","TS","TS","TS","STS","SS","TS","S","TS","S","SS","STS","STS","TS","TS","S"
"325","Jeanne Hoppe DVM","laki-laki","12","S","STS","S","TS","STS","SS","SS","TS","TS","STS","SS","STS","SS","TS","STS"
"326","Jaren Huels","perempuan","11","SS","S","STS","SS","STS","S","SS","TS","TS","STS","S","S","S","S","SS"
"327","Nelda Mayer Jr.","perempuan","12","STS","STS","STS","TS","S","SS","TS","STS","S","SS","S","STS","SS","STS","SS"
"328","Monroe Gorczany","perempuan","10","SS","SS","TS","SS","SS","S","TS","TS","STS","STS","STS","SS","STS","TS","SS"
"329","Zion Hartmann II","laki-laki","11","S","STS","STS","S","TS","STS","TS","SS","SS","S","SS","S","TS","TS","SS"
"330","Nikita Considine","perempuan","10","SS","SS","STS","SS","STS","STS","TS","S","TS","SS","S","SS","SS","STS","STS"
"331","Leone Stracke I","perempuan","12","SS","SS","S","STS","TS","TS","S","TS","TS","SS","TS","TS","SS","S","S"
"332","Sabina Goodwin Jr.","perempuan","11","S","SS","S","TS","S","S","SS","S","SS","SS","SS","SS","TS","S","S"
"333","Myrna Harvey","perempuan","12","SS","STS","TS","TS","STS","S","STS","SS","STS","STS","TS","S","STS","S","TS"
"334","Mrs. Queen Conroy Sr.","perempuan","11","TS","S","S","S","SS","SS","SS","TS","STS","S","S","STS","TS","STS","TS"
"335","Nikita Abernathy","perempuan","11","TS","SS","S","SS","S","TS","TS","STS","STS","TS","S","SS","STS","S","STS"
"336","Stan Aufderhar","perempuan","10","SS","SS","STS","TS","S","STS","S","S","TS","SS","SS","TS","S","TS","S"
"337","Gracie Casper","perempuan","11","STS","SS","SS","S","TS","STS","STS","TS","S","SS","TS","S","STS","STS","S"
"338","Quinn Goyette Sr.","laki-laki","11","STS","S","S","STS","SS","STS","TS","S","SS","S","S","STS","S","TS","TS"
"339","Bartholome Wisozk PhD","laki-laki","12","STS","SS","S","SS","S","SS","S","TS","SS","SS","SS","STS","STS","STS","STS"
"340","Mrs. Darlene D'Amore V","laki-laki","10","STS","S","STS","TS","S","STS","S","SS","STS","STS","TS","STS","TS","STS","STS"
"341","Emily Mohr","laki-laki","10","TS","SS","SS","STS","TS","TS","TS","S","TS","S","STS","TS","SS","STS","SS"
"342","Ward Kilback","laki-laki","10","S","S","SS","SS","SS","S","STS","SS","STS","S","S","S","SS","S","TS"
"343","Maymie Beahan","laki-laki","11","STS","SS","TS","STS","TS","TS","STS","TS","S","SS","SS","TS","TS","S","STS"
"344","Dewayne Frami","laki-laki","11","STS","SS","STS","TS","TS","TS","SS","TS","TS","S","S","S","SS","S","STS"
"345","Cordelia Daugherty","laki-laki","10","SS","STS","STS","SS","STS","STS","TS","S","TS","TS","S","TS","S","SS","STS"
"346","Miss Ethyl Reichel DVM","laki-laki","12","STS","S","TS","TS","STS","SS","STS","SS","TS","S","STS","S","SS","SS","SS"
"347","Eladio Witting PhD","perempuan","12","STS","SS","STS","STS","TS","S","SS","SS","S","STS","TS","TS","SS","STS","STS"
"348","Merritt Miller","perempuan","10","S","TS","SS","SS","STS","STS","S","S","TS","TS","STS","S","STS","SS","S"
"349","Prof. Rodrick Dickens","perempuan","11","S","TS","TS","TS","SS","TS","STS","TS","S","S","S","S","TS","TS","S"
"350","Prof. Nash Torp","perempuan","11","SS","SS","S","SS","SS","TS","TS","S","TS","STS","TS","SS","SS","STS","S"
"351","Prof. Else Koepp DVM","perempuan","10","S","STS","S","SS","TS","STS","S","TS","SS","TS","S","S","STS","S","STS"
"352","Prof. Kaitlyn Schaefer PhD","laki-laki","11","S","SS","S","S","SS","S","STS","S","S","S","S","TS","SS","S","SS"
"353","Susanna Jones","perempuan","10","S","STS","SS","STS","STS","S","S","SS","S","STS","STS","TS","TS","TS","SS"
"354","Carli Kovacek","laki-laki","10","SS","SS","TS","STS","S","SS","TS","STS","SS","TS","TS","STS","SS","S","STS"
"355","Mr. Braeden Ullrich","laki-laki","11","S","S","STS","TS","STS","SS","S","STS","S","SS","STS","S","STS","SS","TS"
"356","Maymie Schoen","laki-laki","11","STS","SS","TS","STS","TS","STS","TS","STS","TS","S","SS","TS","SS","SS","STS"
"357","Prof. Pete Fisher III","perempuan","10","TS","TS","SS","S","STS","TS","S","STS","TS","TS","TS","SS","TS","SS","S"
"358","Avery McLaughlin","laki-laki","12","TS","SS","SS","TS","STS","SS","STS","S","S","STS","STS","STS","TS","SS","SS"
"359","Mrs. Juliana Lindgren","laki-laki","12","S","STS","S","SS","TS","TS","S","TS","TS","STS","SS","S","STS","STS","S"
"360","Mervin Reilly","perempuan","12","S","TS","STS","TS","S","STS","S","S","TS","STS","STS","S","STS","STS","STS"
"361","Mr. Anderson Fahey DDS","laki-laki","12","TS","SS","STS","STS","TS","S","STS","S","SS","TS","SS","S","TS","STS","TS"
"362","Wilhelm Rath","laki-laki","12","TS","SS","S","S","STS","SS","S","STS","TS","TS","S","SS","TS","SS","TS"
"363","Johnnie Hill","laki-laki","12","STS","TS","STS","S","S","STS","STS","STS","TS","STS","TS","S","TS","STS","STS"
"364","Prof. Matt Howell III","perempuan","11","SS","STS","S","SS","SS","S","STS","STS","STS","SS","TS","S","S","STS","TS"
"365","Prof. Ebba Lakin Jr.","perempuan","11","TS","S","S","S","STS","S","S","SS","S","TS","SS","S","STS","S","S"
"366","Francesco Hudson","laki-laki","10","SS","SS","TS","SS","TS","TS","STS","S","SS","SS","SS","SS","SS","SS","SS"
"367","Karolann Upton","perempuan","12","STS","S","TS","SS","STS","STS","S","S","TS","STS","STS","STS","SS","STS","SS"
"368","Evie Gorczany II","perempuan","11","TS","S","S","SS","TS","SS","TS","TS","S","S","STS","S","S","TS","S"
"369","Mrs. Yvette Murray","laki-laki","12","SS","S","TS","STS","SS","STS","SS","TS","STS","STS","S","STS","SS","TS","TS"
"370","Owen Reinger","perempuan","11","SS","SS","STS","S","SS","S","S","STS","S","SS","STS","STS","S","SS","TS"
"371","Prof. Isidro Crona MD","perempuan","10","S","TS","STS","S","STS","SS","S","TS","SS","TS","STS","S","TS","TS","S"
"372","Corrine Hammes DDS","laki-laki","10","TS","S","S","TS","TS","S","STS","STS","S","SS","S","STS","SS","TS","STS"
"373","Francesca Trantow III","perempuan","12","STS","TS","TS","TS","TS","SS","S","S","TS","S","SS","TS","STS","STS","SS"
"374","Karl Hane","perempuan","10","STS","TS","STS","S","SS","S","S","SS","S","STS","TS","S","SS","SS","S"
"375","Wyman Lesch","laki-laki","12","TS","TS","S","S","STS","STS","S","STS","SS","SS","TS","STS","SS","STS","SS"
"376","Pete Schaden","perempuan","11","SS","S","S","SS","S","S","STS","S","S","STS","S","SS","SS","STS","SS"
"377","Kelton Gusikowski","perempuan","10","S","S","S","TS","STS","SS","S","S","S","STS","STS","SS","TS","STS","STS"
"378","Marlee Steuber","perempuan","12","TS","STS","STS","S","STS","STS","SS","S","TS","STS","SS","TS","SS","SS","S"
"379","Terrell VonRueden","laki-laki","10","S","S","TS","STS","STS","S","SS","TS","STS","SS","SS","S","SS","S","SS"
"380","Sharon Bailey","laki-laki","10","STS","STS","SS","S","SS","STS","STS","SS","TS","STS","SS","TS","TS","SS","TS"
"381","Modesta Mertz","perempuan","12","STS","SS","TS","STS","S","SS","SS","S","TS","TS","STS","TS","S","S","S"
"382","Prof. Mustafa Yundt","laki-laki","12","SS","SS","S","S","STS","TS","TS","S","SS","STS","S","TS","STS","STS","SS"
"383","Godfrey Greenholt","laki-laki","11","S","STS","STS","TS","S","SS","S","S","TS","S","TS","STS","TS","TS","S"
"384","Prof. Adriel Hirthe","perempuan","11","S","TS","TS","S","STS","TS","S","S","STS","TS","STS","STS","SS","TS","STS"
"385","Mr. Macey Roob PhD","perempuan","12","S","TS","STS","STS","SS","TS","SS","SS","S","SS","STS","TS","TS","SS","TS"
"386","Mr. Arnold Bogisich Sr.","laki-laki","12","SS","SS","SS","STS","STS","S","TS","TS","TS","STS","S","STS","SS","S","TS"
"387","Donnell Mohr","perempuan","12","S","S","SS","SS","SS","TS","STS","STS","S","SS","S","TS","S","S","SS"
"388","Howell McClure","perempuan","10","SS","TS","SS","SS","SS","S","SS","STS","TS","STS","S","S","STS","TS","S"
"389","Mr. Jordi Waelchi","perempuan","12","TS","STS","TS","SS","SS","S","TS","S","STS","TS","S","TS","STS","S","SS"
"390","Dillan Schimmel","perempuan","11","S","S","STS","TS","S","TS","SS","S","TS","SS","S","TS","SS","S","S"
"391","Nakia Stroman","perempuan","12","STS","SS","S","SS","TS","SS","STS","TS","STS","TS","TS","SS","SS","SS","STS"
"392","Prof. Fermin Blick","perempuan","11","S","STS","STS","SS","SS","TS","TS","SS","S","TS","TS","SS","SS","S","S"
"393","Eusebio Cassin","perempuan","11","S","TS","TS","S","STS","TS","TS","SS","S","TS","S","STS","S","S","TS"
"394","Audrey Medhurst Jr.","perempuan","11","S","SS","S","STS","SS","S","STS","S","STS","SS","S","STS","SS","STS","STS"
"395","Mr. Billy Bauch Sr.","perempuan","12","TS","SS","STS","TS","SS","S","STS","TS","STS","STS","TS","TS","S","TS","STS"
"396","Ted Ondricka II","laki-laki","10","TS","STS","TS","TS","STS","SS","STS","TS","STS","SS","TS","STS","TS","SS","SS"
"397","Naomie Harvey","perempuan","11","TS","TS","S","TS","TS","SS","S","STS","STS","S","STS","S","S","S","STS"
"398","Kailey Satterfield","laki-laki","12","TS","S","S","TS","S","SS","TS","STS","SS","TS","SS","TS","SS","S","STS"
"399","Emory Vandervort DDS","laki-laki","11","TS","S","STS","TS","S","S","STS","TS","SS","STS","SS","S","TS","SS","SS"
"400","Korey Bernier","perempuan","12","STS","S","S","TS","TS","STS","SS","TS","S","TS","STS","SS","S","S","SS"
"401","Meta Fadel","perempuan","11","SS","STS","TS","SS","SS","S","TS","STS","STS","STS","S","SS","STS","STS","SS"
"402","Mr. Lafayette McClure","perempuan","10","S","SS","STS","STS","SS","SS","STS","STS","STS","S","S","TS","TS","SS","STS"
"403","Alex Feil Sr.","perempuan","12","TS","S","SS","S","SS","SS","TS","STS","TS","S","S","TS","S","SS","TS"
"404","Stone Armstrong","laki-laki","11","TS","S","S","S","S","TS","STS","SS","SS","SS","S","SS","STS","SS","STS"
"405","Laurianne Hand","perempuan","11","SS","TS","SS","TS","TS","STS","TS","STS","SS","TS","TS","SS","SS","SS","S"
"406","Thad Hagenes PhD","perempuan","11","S","STS","S","SS","TS","STS","STS","TS","STS","STS","SS","STS","S","TS","SS"
"407","Lea Stokes","perempuan","10","TS","SS","TS","STS","STS","SS","STS","TS","TS","STS","STS","STS","S","S","S"
"408","Hayley Koepp DVM","perempuan","12","S","SS","SS","TS","STS","SS","SS","S","SS","S","STS","SS","S","SS","STS"
"409","Prof. Alvah Tillman I","perempuan","10","STS","SS","STS","S","TS","S","TS","STS","SS","STS","TS","TS","STS","S","S"
"410","Fern Kozey","perempuan","12","S","SS","SS","STS","STS","TS","SS","S","SS","TS","SS","STS","TS","S","S"
"411","Virginie Larson","perempuan","11","TS","SS","S","STS","SS","TS","STS","STS","SS","TS","TS","SS","STS","TS","SS"
"412","Janice Kub","perempuan","12","STS","SS","SS","S","TS","STS","SS","S","STS","STS","SS","S","STS","SS","STS"
"413","Mrs. Myrtis Daniel Sr.","perempuan","11","SS","S","S","STS","STS","S","TS","S","STS","TS","S","SS","SS","STS","STS"
"414","Dr. Gaston Schroeder I","laki-laki","11","STS","STS","SS","S","SS","S","TS","TS","SS","SS","STS","S","TS","SS","S"
"415","Savanah Nienow","laki-laki","10","TS","STS","TS","S","SS","TS","SS","S","STS","SS","S","TS","SS","STS","SS"
"416","Mekhi Gerlach I","perempuan","12","TS","TS","TS","S","STS","SS","TS","SS","SS","S","S","S","TS","S","S"
"417","Buster Stehr","laki-laki","11","SS","STS","S","TS","S","S","S","S","SS","S","S","SS","TS","STS","TS"
"418","Korbin Schowalter","laki-laki","10","S","STS","SS","STS","SS","S","TS","STS","TS","TS","TS","S","STS","STS","STS"
"419","Elvis Fadel","laki-laki","12","S","SS","STS","STS","S","SS","TS","SS","TS","S","SS","S","SS","STS","TS"
"420","Magali Heaney","laki-laki","10","TS","TS","TS","STS","TS","S","TS","TS","STS","STS","SS","S","STS","SS","S"
"421","Davion Howe","perempuan","10","SS","STS","SS","S","S","SS","STS","SS","TS","STS","STS","S","TS","TS","SS"
"422","Lulu Huel","perempuan","12","SS","STS","STS","S","SS","TS","SS","STS","TS","STS","STS","STS","STS","SS","S"
"423","Faustino Walter","laki-laki","12","STS","S","TS","TS","SS","S","STS","TS","SS","S","STS","SS","SS","SS","SS"
"424","Prof. Corbin Swaniawski Sr.","perempuan","12","S","SS","S","STS","TS","STS","TS","STS","STS","TS","SS","SS","S","TS","S"
"425","Caesar Weissnat","perempuan","11","TS","TS","TS","TS","TS","SS","STS","TS","S","SS","TS","TS","S","S","STS"
"426","Dominic Kunze","perempuan","12","STS","TS","TS","SS","TS","STS","STS","STS","S","S","SS","S","TS","SS","TS"
"427","Dr. Cornell Streich","perempuan","12","SS","SS","TS","SS","SS","STS","TS","S","TS","STS","TS","S","TS","S","S"
"428","Abelardo Kunde","laki-laki","12","SS","S","STS","STS","STS","SS","TS","SS","STS","TS","STS","S","S","S","S"
"429","Bella Hyatt","perempuan","12","SS","SS","S","TS","STS","TS","STS","S","TS","SS","STS","TS","STS","STS","SS"
"430","Prof. Lenore McLaughlin","perempuan","12","SS","STS","SS","STS","SS","STS","S","SS","TS","S","STS","SS","STS","S","S"
"431","Leonor Donnelly","perempuan","10","TS","TS","TS","TS","SS","TS","TS","S","S","STS","SS","S","S","S","TS"
"432","Litzy Zboncak","laki-laki","11","TS","STS","S","S","STS","TS","TS","S","STS","TS","SS","TS","STS","TS","TS"
